Filename,Description,Keywords,Categories,Editorial,Mature content,illustration
1.eps,"A red sports car with a sleek design, ready to speed off the starting line. With its vibrant red color and streamlined body, this car is sure to turn heads on the track. The image showcases the car's front end, highlighting its bold features and dynamic presence.","sports car, red car, fast car, car, automobile, vehicle","Transportation, Interiors",no,no,yes
2.eps,"Vector graphic of a vintage blue car with teal body, white accents, and distinctive headlights and grill.","vintage, car, automobile, classic, vehicle, transportation, blue, teal, graphic, illustration, design, retro, antique, transportation, wheel, automotive, headlight, grill, bumper, style","Vintage, Transportation",no,no,yes
3.eps,"Modern orange car illustration featuring sleek design and vibrant color, showcasing a stylish vector graphic representation of an automobile with detailed elements.","car, orange, vector, illustration, graphic, design, automobile, vehicle, transportation, transportation design, automotive, car design, modern, vibrant, color, sleek, technology, wheels, bumper, headlights","Interiors, Transportation",no,no,yes
4.eps,"Stylized vector illustration of a modern dark gray car featuring a sleek silver grill and orange headlights, representing contemporary automotive and transportation design concepts.","car, vehicle, automotive, transportation, design, illustration, graphic, modern, sleek, silver, grill, headlights, orange, dark, gray, front, automobile, technology, luxury, sedan, icon, symbol","Transportation, Interiors",no,no,yes
5.eps,"A sleek and luxurious illustration of a Rolls-Royce car's front view, showcasing its distinctive design elements and premium features.","luxury, car, Rolls-Royce, front view, automotive, design, transportation, vehicle, graphic, illustration","Transportation, Interiors",no,no,yes
6.eps,"Vibrant vector illustration of a monster truck featuring large tires and a bold red body, perfect for offroad enthusiasts and automotive design inspiration.","truck, monster, vehicle, red, offroad, car, automobile, transportation, graphic, illustration, design, tires, wheels, automotive, racing, adventure, extreme, sport, power, speed, offroading, rugged, graphicdesign, vectorart, automotivedesign","Transportation, Interiors",no,no,yes
7.eps,"A yellow car is depicted in a flat design style, showcasing a prominent front grill and headlights in a clean vector graphic illustration.","car, vehicle, yellow, illustration, graphic, design, automobile, transportation, luxury, modern, sleek, front, grill, headlights, vector, automotive, transport, wheel, bumper","Transportation, Interiors",no,no,yes
8.eps,"A blue car with a vintage style, illustrated in a graphic design.","car, blue, vintage, retro, vehicle, automobile, graphic, illustration, design","Vintage, Transportation",no,no,yes
9.eps,Dynamic green liquid splash forming a circular shape in a vibrant vector graphic illustration.,"splash, liquid, green, circular, vector, graphic, illustration, design, fluid, dynamic, abstract, vibrant, color, shape, art, creative, motion, energy, freshness","Abstract, Industrial",no,no,yes
10.eps,"A detailed vector illustration of a blue disposable surgical face mask, showcasing its three-ply design and elastic ear straps, emphasizing hygiene and safety.","mask, face, surgical, blue, medical, protection, hygiene, safety, disposable, health, care, protection, equipment, prevention, filter, virus, hospital, clinic, white, elastic, straps","Healthcare/Medical, Objects",no,no,yes
